Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Atlassian Project),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Category),Custom field (Comments),Custom field (Confidence),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Design file),Custom field (Designs ready),Custom field (Designs ready),Custom field (Development),Custom field (Documents),Custom field (Documents),Custom field (Effort),Custom field (Effort),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea short description),Custom field (Idea short description),Custom field (Impact),Custom field (Impact),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Project start),Custom field (Project start),Custom field (Project target),Custom field (Project target),Custom field (RICE score),Custom field (Rank),Custom field (Reach),Custom field (Roadmap),Custom field (Roadmap),Custom field (Score),Custom field (Spec ready),Custom field (Start date),Custom field (State),Custom field (Story point estimate),Custom field (Team),Custom field (Value),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Inline-Editing direkt in der Tabelle,KAN-31,10131,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:50 PM,10/Apr/26 1:50 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0007z:,,,,,,,,,,,,10123,KAN-27,Responsives Desktop-Layout,To Do,10/Apr/26 1:50 PM
"Tabelle: Spalten Name, Marke, MHD, Menge, Lagerort, Eingefroren",KAN-32,10133,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:50 PM,10/Apr/26 1:50 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i00087:,,,,,,,,,,,,10123,KAN-27,Responsives Desktop-Layout,To Do,10/Apr/26 1:50 PM
Dashboard für Desktop,KAN-33,10135,Story,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:50 PM,10/Apr/26 1:50 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0008f:,,,,,,,,,,,,10121,KAN-26, PC/Desktop-Ansicht,To Do,10/Apr/26 1:50 PM
Ablauf-Kalender: Welche Produkte laufen wann ab,KAN-34,10137,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:50 PM,10/Apr/26 1:50 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0008n:,,,,,,,,,,,,10135,KAN-33,Dashboard für Desktop,To Do,10/Apr/26 1:50 PM
Statistik-Karten: Abgelaufen / Bald ablaufend / Eingefroren / Gesamt,KAN-35,10139,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:50 PM,10/Apr/26 1:50 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0008v:,,,,,,,,,,,,10135,KAN-33,Dashboard für Desktop,To Do,10/Apr/26 1:50 PM
Kategorieübersicht: Wie viele Produkte pro Kategorie,KAN-36,10141,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:51 PM,10/Apr/26 1:51 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i00093:,,,,,,,,,,,,10135,KAN-33,Dashboard für Desktop,To Do,10/Apr/26 1:51 PM
Diagramm: Ablaufdaten der nächsten 30 Tage,KAN-37,10143,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:51 PM,10/Apr/26 1:51 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0009b:,,,,,,,,,,,,10135,KAN-33,Dashboard für Desktop,To Do,10/Apr/26 1:51 PM
Erweiterte Filterung am PC,KAN-38,10145,Story,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:51 PM,10/Apr/26 1:52 PM,,,,0,"Als Nutzer möchte ich am PC meine Vorräte umfangreich filtern und sortieren können, damit ich schnell finde was ich suche.",,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0009j:,,,,,,,,,,,,10121,KAN-26, PC/Desktop-Ansicht,To Do,10/Apr/26 1:51 PM
"Filter: Lagerort, Kategorie, MHD-Zeitraum, Eingefroren ja/nein",KAN-39,10147,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:52 PM,10/Apr/26 1:52 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0009r:,,,,,,,,,,,,10145,KAN-38,Erweiterte Filterung am PC,To Do,10/Apr/26 1:52 PM
"Mehrfachselektion für Bulk-Aktionen (löschen, Lagerort ändern)",KAN-40,10149,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:52 PM,10/Apr/26 1:52 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i0009z:,,,,,,,,,,,,10145,KAN-38,Erweiterte Filterung am PC,To Do,10/Apr/26 1:52 PM
Sortierung nach allen Spalten,KAN-41,10151,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:52 PM,10/Apr/26 1:52 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000a7:,,,,,,,,,,,,10145,KAN-38,Erweiterte Filterung am PC,To Do,10/Apr/26 1:52 PM
Exportfunktion als CSV für Excel,KAN-42,10153,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:52 PM,10/Apr/26 1:52 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000af:,,,,,,,,,,,,10145,KAN-38,Erweiterte Filterung am PC,To Do,10/Apr/26 1:52 PM
Technische Infrastruktur,KAN-43,10154,Epic,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:53 PM,10/Apr/26 1:53 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000an:,,,,,,,,,,,,,,,To Do,10/Apr/26 1:53 PM
Supabase Setup,KAN-44,10156,Story,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:53 PM,10/Apr/26 1:53 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000av:,,,,,,,,,,,,10154,KAN-43,Technische Infrastruktur,To Do,10/Apr/26 1:53 PM
Supabase-Projekt erstellen (kostenloser Plan),KAN-45,10158,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:53 PM,10/Apr/26 1:53 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000b3:,,,,,,,,,,,,10156,KAN-44,Supabase Setup,To Do,10/Apr/26 1:53 PM
Datenbankschema mit Migrationen versionieren,KAN-46,10160,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:54 PM,10/Apr/26 1:54 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000bb:,,,,,,,,,,,,10156,KAN-44,Supabase Setup,To Do,10/Apr/26 1:54 PM
Row Level Security Policies schreiben und testen,KAN-47,10162,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:54 PM,10/Apr/26 1:54 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000bj:,,,,,,,,,,,,10156,KAN-44,Supabase Setup,To Do,10/Apr/26 1:54 PM
Supabase JS Client in die App einbinden,KAN-48,10164,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:54 PM,10/Apr/26 1:54 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000br:,,,,,,,,,,,,10156,KAN-44,Supabase Setup,To Do,10/Apr/26 1:54 PM
Umgebungsvariablen für API-Keys einrichten,KAN-49,10166,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:54 PM,10/Apr/26 1:54 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000bz:,,,,,,,,,,,,10156,KAN-44,Supabase Setup,To Do,10/Apr/26 1:54 PM
Deployment & Updates,KAN-50,10168,Story,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:54 PM,10/Apr/26 1:54 PM,,,,0,"Als Entwickler möchte ich einen einfachen Update-Prozess, damit neue Versionen schnell live gehen.",,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000c7:,,,,,,,,,,,,10154,KAN-43,Technische Infrastruktur,To Do,10/Apr/26 1:54 PM
GitHub Actions Workflow: automatischer Deploy auf GitHub Pages bei Push auf main,KAN-51,10170,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:54 PM,10/Apr/26 1:54 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000cf:,,,,,,,,,,,,10168,KAN-50,Deployment & Updates,To Do,10/Apr/26 1:54 PM
Versionsnummer in der App anzeigen (Einstellungen),KAN-52,10172,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:54 PM,10/Apr/26 1:54 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000cn:,,,,,,,,,,,,10168,KAN-50,Deployment & Updates,To Do,10/Apr/26 1:54 PM
Changelog-Datei anlegen,KAN-53,10174,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,10/Apr/26 1:54 PM,10/Apr/26 1:54 PM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000cv:,,,,,,,,,,,,10168,KAN-50,Deployment & Updates,To Do,10/Apr/26 1:54 PM
UX & Design-Verbesserungen,KAN-54,10213,Epic,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,14/Apr/26 10:36 AM,14/Apr/26 10:36 AM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000ef:,,,,,,,,,,,,,,,To Do,14/Apr/26 10:36 AM
floating Action Button,KAN-55,10215,Story,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,14/Apr/26 10:37 AM,14/Apr/26 11:16 AM,,,,0,"Als Nutzer möchte ich einen großen zentralen Scanner-Button, damit ich nach dem Einkaufen Produkte mit einem Tippen schnell erfassen kann.

*Als Nutzer* möchte ich den Scanner von jedem Screen aus mit einem einzigen Klick erreichen, ohne im Menü suchen zu müssen.",,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000en:,,,,,,,,,,,,10213,KAN-54,UX & Design-Verbesserungen,To Do,14/Apr/26 10:37 AM
FAB-Button unten mittig über der Navigation platzieren,KAN-56,10217,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,14/Apr/26 10:37 AM,14/Apr/26 10:37 AM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000ev:,,,,,,,,,,,,10215,KAN-55,floating Action Button,To Do,14/Apr/26 10:37 AM
Scanner-Tab aus der Bottom-Nav entfernen (4 → 3 Tabs),KAN-57,10219,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,14/Apr/26 10:37 AM,14/Apr/26 10:37 AM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000f3:,,,,,,,,,,,,10215,KAN-55,floating Action Button,To Do,14/Apr/26 10:37 AM
FAB-Animation beim Tippen (leichtes Scale-Feedback),KAN-58,10221,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,14/Apr/26 10:37 AM,14/Apr/26 10:37 AM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000fb:,,,,,,,,,,,,10215,KAN-55,floating Action Button,To Do,14/Apr/26 10:37 AM
Sicherstellen dass FAB nicht Listeninhalt dauerhaft verdeckt (Scroll-Padding),KAN-59,10223,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,14/Apr/26 10:37 AM,14/Apr/26 10:37 AM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000fj:,,,,,,,,,,,,10215,KAN-55,floating Action Button,To Do,14/Apr/26 10:37 AM
Gruppierung nach Lagerort,KAN-60,10225,Story,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,14/Apr/26 11:11 AM,14/Apr/26 11:13 AM,,,,0,"Als Nutzer möchte ich meine Vorräte nach Lagerort gruppiert sehen, damit ich beim Blick in Kühlschrank oder Kammer sofort die relevanten Produkte finde.",,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000fr:,,,,,,,,,,,,10213,KAN-54,UX & Design-Verbesserungen,To Do,14/Apr/26 11:12 AM
MHD Progress-Bar,KAN-61,10227,Story,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,14/Apr/26 11:12 AM,14/Apr/26 11:13 AM,,,,0,"Als Nutzer möchte ich den MHD-Status als visuellen Balken sehen, damit ich den Zustand meiner Vorräte schneller erfassen kann ohne Daten lesen zu müssen.",,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000fz:,,,,,,,,,,,,10213,KAN-54,UX & Design-Verbesserungen,To Do,14/Apr/26 11:12 AM
Glassmorphism Design-Update,KAN-62,10229,Story,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,14/Apr/26 11:12 AM,14/Apr/26 11:14 AM,,,,0,"Als Nutzer möchte ich eine modernere Optik der Produktkarten, damit die App nativer und hochwertiger wirkt.",,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000g7:,,,,,,,,,,,,10213,KAN-54,UX & Design-Verbesserungen,To Do,14/Apr/26 11:12 AM
Swipe-Gesten auf Produktkarten,KAN-63,10231,Story,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,14/Apr/26 11:12 AM,14/Apr/26 11:14 AM,,,,0,"Als Nutzer möchte ich per Wisch-Geste schnell Mengen anpassen oder Produkte löschen, damit häufige Aktionen ohne Tippen auf Buttons möglich sind.",,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000gf:,,,,,,,,,,,,10213,KAN-54,UX & Design-Verbesserungen,To Do,14/Apr/26 11:12 AM
"Homescreen: Sektionen pro Lagerort mit Produktanzahl (z.B. „🧊 Kühlschrank (12)"")",KAN-64,10233,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,14/Apr/26 11:13 AM,14/Apr/26 11:13 AM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000gn:,,,,,,,,,,,,10225,KAN-60,Gruppierung nach Lagerort,To Do,14/Apr/26 11:13 AM
Sektion ausklappbar/einklappbar,KAN-65,10235,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,14/Apr/26 11:13 AM,14/Apr/26 11:13 AM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000gv:,,,,,,,,,,,,10225,KAN-60,Gruppierung nach Lagerort,To Do,14/Apr/26 11:13 AM
"Produkte ohne Lagerort unter „📦 Sonstiges"" zusammenfassen",KAN-66,10237,Subtask,Zu erledigen,KAN,Voratskammer,software,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Your first project,Medium,,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,14/Apr/26 11:13 AM,14/Apr/26 11:13 AM,,,,0,,,Micha Wallburger,712020:a6b7f025-2849-4cee-baf1-ea837ab78009,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,0|i000h3:,,,,,,,,,,,,10225,KAN-60,Gruppierung nach Lagerort,To Do,14/Apr/26 11:13 AM
